,time_limit,pocket,ef,model,seed
0,500.0,4XWF_A_AMZ_101,0.19086651053864168,RDOCK,0
1,500.0,4XWF_A_AMZ_101,0.9566744730679156,RDOCK,1
2,500.0,4XWF_A_AMZ_101,0.639344262295082,RDOCK,2
3,500.0,4XWF_A_AMZ_101,0.35128805620608894,RDOCK,3
4,500.0,4XWF_A_AMZ_101,0.6850117096018735,RDOCK,4
5,500.0,4XWF_A_AMZ_101,0.03629976580796257,RDOCK,5
6,500.0,4XWF_A_AMZ_101,0.4028103044496487,RDOCK,6
7,500.0,4XWF_A_AMZ_101,0.43091334894613587,RDOCK,7
8,500.0,4XWF_A_AMZ_101,0.3044496487119438,RDOCK,8
9,500.0,4XWF_A_AMZ_101,0.04800936768149888,RDOCK,9
10,4157.894736842105,4XWF_A_AMZ_101,0.008196721311475419,RDOCK,0
11,4157.894736842105,4XWF_A_AMZ_101,0.8255269320843092,RDOCK,1
12,4157.894736842105,4XWF_A_AMZ_101,0.5327868852459017,RDOCK,2
13,4157.894736842105,4XWF_A_AMZ_101,0.9918032786885246,RDOCK,3
14,4157.894736842105,4XWF_A_AMZ_101,0.5983606557377049,RDOCK,4
15,4157.894736842105,4XWF_A_AMZ_101,0.10655737704918034,RDOCK,5
16,4157.894736842105,4XWF_A_AMZ_101,0.21545667447306793,RDOCK,6
17,4157.894736842105,4XWF_A_AMZ_101,0.21545667447306793,RDOCK,7
18,4157.894736842105,4XWF_A_AMZ_101,0.9929742388758782,RDOCK,8
19,4157.894736842105,4XWF_A_AMZ_101,0.07962529274004682,RDOCK,9
20,7815.789473684211,4XWF_A_AMZ_101,0.3302107728337237,RDOCK,0
21,7815.789473684211,4XWF_A_AMZ_101,0.5655737704918034,RDOCK,1
22,7815.789473684211,4XWF_A_AMZ_101,0.455503512880562,RDOCK,2
23,7815.789473684211,4XWF_A_AMZ_101,0.9847775175644028,RDOCK,3
24,7815.789473684211,4XWF_A_AMZ_101,0.39227166276346603,RDOCK,4
25,7815.789473684211,4XWF_A_AMZ_101,0.34426229508196726,RDOCK,5
26,7815.789473684211,4XWF_A_AMZ_101,0.9859484777517564,RDOCK,6
27,7815.789473684211,4XWF_A_AMZ_101,0.9871194379391101,RDOCK,7
28,7815.789473684211,4XWF_A_AMZ_101,0.9859484777517564,RDOCK,8
29,7815.789473684211,4XWF_A_AMZ_101,0.30210772833723654,RDOCK,9
30,11473.684210526317,4XWF_A_AMZ_101,0.20374707259953162,RDOCK,0
31,11473.684210526317,4XWF_A_AMZ_101,0.1053864168618267,RDOCK,1
32,11473.684210526317,4XWF_A_AMZ_101,0.3653395784543325,RDOCK,2
33,11473.684210526317,4XWF_A_AMZ_101,0.9812646370023419,RDOCK,3
34,11473.684210526317,4XWF_A_AMZ_101,0.32084309133489464,RDOCK,4
35,11473.684210526317,4XWF_A_AMZ_101,0.9812646370023419,RDOCK,5
36,11473.684210526317,4XWF_A_AMZ_101,0.9812646370023419,RDOCK,6
37,11473.684210526317,4XWF_A_AMZ_101,0.9824355971896955,RDOCK,7
38,11473.684210526317,4XWF_A_AMZ_101,0.9800936768149883,RDOCK,8
39,11473.684210526317,4XWF_A_AMZ_101,0.9871194379391101,RDOCK,9
40,15131.578947368422,4XWF_A_AMZ_101,0.9707259953161592,RDOCK,0
41,15131.578947368422,4XWF_A_AMZ_101,0.015222482435597207,RDOCK,1
42,15131.578947368422,4XWF_A_AMZ_101,0.34192037470726,RDOCK,2
